t,V,I,R
395,0.158,0.842,0
396,0.186,0.814,0
397,0.16,0.84,0
398,0.177,0.823,0
399,0.156,0.844,0
400,0.158,0.842,0
401,0.174,0.826,0
402,0.161,0.839,0
403,0.167,0.833,0
404,0.166,0.834,0
405,0.171,0.829,0
406,0.177,0.823,0
407,0.16,0.84,0
408,0.18,0.82,0
409,0.176,0.824,0
410,0.171,0.829,0
411,0.18,0.82,0
412,0.158,0.842,0
413,0.17,0.83,0
414,0.154,0.846,0
415,0.176,0.824,0
416,0.173,0.827,0
417,0.177,0.823,0
418,0.151,0.849,0
419,0.165,0.835,0
420,0.141,0.859,0
421,0.176,0.824,0
422,0.164,0.836,0
423,0.167,0.833,0
424,0.18,0.82,0
425,0.147,0.853,0
426,0.157,0.843,0
427,0.191,0.809,0
428,0.149,0.851,0
429,0.179,0.821,0
430,0.167,0.833,0
431,0.152,0.848,0
432,0.175,0.825,0
433,0.17,0.83,0
434,0.169,0.831,0
435,0.173,0.827,0
436,0.172,0.828,0
437,0.167,0.833,0
438,0.154,0.846,0
439,0.172,0.828,0
440,0.15,0.85,0
441,0.173,0.827,0
442,0.169,0.831,0
443,0.157,0.843,0
444,0.165,0.835,0
445,0.162,0.838,0
446,0.164,0.836,0
447,0.165,0.835,0
448,0.178,0.822,0
449,0.169,0.831,0
450,0.141,0.859,0
451,0.17,0.83,0
452,0.186,0.814,0
453,0.158,0.842,0
454,0.184,0.816,0
455,0.161,0.839,0
456,0.168,0.832,0
457,0.165,0.835,0
458,0.174,0.826,0
459,0.151,0.849,0
460,0.166,0.834,0
461,0.146,0.854,0
462,0.186,0.814,0
463,0.138,0.862,0
464,0.192,0.808,0
465,0.168,0.832,0
466,0.169,0.831,0
467,0.169,0.831,0
468,0.171,0.829,0
469,0.173,0.827,0
470,0.165,0.835,0
471,0.185,0.815,0
472,0.162,0.838,0
473,0.175,0.825,0
474,0.166,0.834,0
475,0.165,0.835,0
476,0.176,0.824,0
477,0.174,0.826,0
478,0.169,0.831,0
479,0.172,0.828,0
480,0.187,0.813,0
481,0.148,0.852,0
482,0.153,0.847,0
483,0.155,0.845,0
484,0.172,0.828,0
485,0.171,0.829,0
486,0.153,0.847,0
487,0.182,0.818,0
488,0.153,0.847,0
489,0.189,0.811,0
490,0.148,0.852,0
491,0.163,0.837,0
492,0.185,0.815,0
493,0.177,0.823,0
494,0.146,0.854,0
495,0.184,0.816,0
496,0.176,0.824,0
497,0.171,0.829,0
498,0.163,0.837,0
499,0.14,0.86,0
