t,V,I,R
355,0.6767578125,0.3232421875,0
356,0.6796875,0.3203125,0
357,0.673828125,0.326171875,0
358,0.654296875,0.345703125,0
359,0.6494140625,0.3505859375,0
360,0.6552734375,0.3447265625,0
361,0.6494140625,0.3505859375,0
362,0.6767578125,0.3232421875,0
363,0.6708984375,0.3291015625,0
364,0.677734375,0.322265625,0
365,0.68359375,0.31640625,0
366,0.6875,0.3125,0
367,0.677734375,0.322265625,0
368,0.6728515625,0.3271484375,0
369,0.6640625,0.3359375,0
370,0.6708984375,0.3291015625,0
371,0.666015625,0.333984375,0
372,0.6640625,0.3359375,0
373,0.646484375,0.353515625,0
374,0.65625,0.34375,0
375,0.650390625,0.349609375,0
376,0.6533203125,0.3466796875,0
377,0.6552734375,0.3447265625,0
378,0.634765625,0.365234375,0
379,0.6416015625,0.3583984375,0
380,0.642578125,0.357421875,0
381,0.6328125,0.3671875,0
382,0.6435546875,0.3564453125,0
383,0.654296875,0.345703125,0
384,0.6513671875,0.3486328125,0
385,0.6591796875,0.3408203125,0
386,0.66796875,0.33203125,0
387,0.6572265625,0.3427734375,0
388,0.669921875,0.330078125,0
389,0.6806640625,0.3193359375,0
390,0.658203125,0.341796875,0
391,0.662109375,0.337890625,0
392,0.6640625,0.3359375,0
393,0.6728515625,0.3271484375,0
394,0.6689453125,0.3310546875,0
395,0.671875,0.328125,0
396,0.66796875,0.33203125,0
397,0.64453125,0.35546875,0
398,0.642578125,0.357421875,0
399,0.6376953125,0.3623046875,0
400,0.62890625,0.37109375,0
401,0.623046875,0.376953125,0
402,0.6201171875,0.3798828125,0
403,0.6220703125,0.3779296875,0
404,0.609375,0.390625,0
405,0.6181640625,0.3818359375,0
406,0.6123046875,0.3876953125,0
407,0.6064453125,0.3935546875,0
408,0.6123046875,0.3876953125,0
409,0.6328125,0.3671875,0
410,0.6318359375,0.3681640625,0
411,0.62890625,0.37109375,0
412,0.6240234375,0.3759765625,0
413,0.6279296875,0.3720703125,0
414,0.6279296875,0.3720703125,0
415,0.6171875,0.3828125,0
416,0.6181640625,0.3818359375,0
417,0.6171875,0.3828125,0
418,0.6162109375,0.3837890625,0
419,0.6201171875,0.3798828125,0
420,0.6328125,0.3671875,0
421,0.66015625,0.33984375,0
422,0.65234375,0.34765625,0
